Screen, Action, Date --- Time
Estimote Timer,Started Estimote Service at,08/05/2019 18:45:30.287
Estimote Timer,No Activity at 1,08/05/2019 18:45:30.303
Estimote Sensor,Killed Sensor at,08/05/2019 18:45:45.330
Estimote Service,Killed Estimote Service at,08/05/2019 18:45:45.342
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:45:55.021
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:46:25.096
Estimote Timer,Started Estimote Service at,08/05/2019 18:47:30.288
Estimote Timer,No Activity at 2,08/05/2019 18:47:30.304
Estimote Sensor,Killed Sensor at,08/05/2019 18:47:45.352
Estimote Service,Killed Estimote Service at,08/05/2019 18:47:45.366
Estimote Timer,Started Estimote Service at,08/05/2019 18:49:30.288
Estimote Timer,No Activity at 3,08/05/2019 18:49:30.304
Estimote Sensor,Killed Sensor at,08/05/2019 18:49:45.330
Estimote Service,Killed Estimote Service at,08/05/2019 18:49:45.363
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:50:55.022
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:51:25.090
Estimote Timer,Started Estimote Service at,08/05/2019 18:51:30.289
Estimote Timer,No Activity at 4,08/05/2019 18:51:30.303
Estimote Sensor,Killed Sensor at,08/05/2019 18:51:45.331
Estimote Service,Killed Estimote Service at,08/05/2019 18:51:45.342
Estimote Timer,Started Estimote Service at,08/05/2019 18:53:30.290
Estimote Timer,No Activity at 5,08/05/2019 18:53:30.305
Estimote Timer,Stopped the Estimote Timer,08/05/2019 18:53:30.316
Estimote Timer,Stopped Estimote Timer at,08/05/2019 18:53:30.328
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 18:55:55.024
Heart Rate Sensor,Killed Sensor at,08/05/2019 18:56:25.107
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:00:55.025
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:01:25.097
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:05:55.025
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:22:14.515
Main Activity,Restarted Estimote Timer at,08/05/2019 19:22:18.957
